net,length_um
_0423_,6.48µm
_0760_,6.48µm
_0670_,6.435µm
_0133_,6.405µm
_0093_,6.36µm
net437,6.36µm
start,6.31µm
ro_count_reg_2[1],6.31µm
net229,6.31µm
net382,6.31µm
net618,6.31µm
_0084_,6.3µm
_0437_,6.3µm
_0645_,6.3µm
_0617_,6.285µm
_0150_,6.25µm
_0203_,6.25µm
net384,6.25µm
_0118_,6.24µm
_0119_,6.24µm
_0142_,6.24µm
_0149_,6.24µm
_0151_,6.24µm
_0156_,6.24µm
_0256_,6.24µm
_0825_,6.24µm
_0042_,6.19µm
_0137_,6.19µm
_0279_,6.19µm
_0308_,6.19µm
_0459_,6.19µm
delay_chain_inst.chain_1\[14\],6.19µm
delay_chain_inst.cycle_count\[4\],6.19µm
net314,6.19µm
net615,6.19µm
net309,6.18µm
_0941_,6.175µm
net282,6.16µm
net217,6.13µm
_0292_,6.12µm
_0579_,6.12µm
_0584_,6.12µm
_0628_,6.12µm
_0117_,6.06µm
_0935_,6.06µm
_0152_,6.02µm
_0432_,6.02µm
net301,6.02µm
net374,6.02µm
net386,6.02µm
net418,6.02µm
net438,6.02µm
net450,6.02µm
net562,6.02µm
net584,6.02µm
